1,6930,READ,0,57
2,1280,READ,3648,57
3,1280,READ,7296,57
4,1560,READ,10944,57
5,1160,READ,14592,57
6,760,READ,18240,57
7,360,READ,21888,57
8,1960,READ,25536,57
9,1560,READ,29184,57
10,1160,READ,32832,57
11,760,READ,36480,57
12,360,READ,40128,57
13,1960,READ,43776,57
14,1560,READ,47424,57
15,1160,READ,51072,57
16,760,READ,54720,57
17,360,READ,58368,57
18,1960,READ,62016,57
19,1560,READ,65664,57
20,1160,READ,69312,57
21,760,READ,72960,57
22,360,READ,76608,57
23,1960,READ,80256,57
24,1560,READ,83904,57
25,1160,READ,87552,57
26,760,READ,91200,57
27,360,READ,94848,57
28,1960,READ,98496,57
29,1560,READ,102144,57
30,1160,READ,105792,57
31,760,READ,109440,57
32,360,READ,113088,57
33,1960,READ,116736,57
34,1560,READ,120384,57
35,1160,READ,124032,57
36,760,READ,127680,57
37,360,READ,131328,57
38,1960,READ,134976,57
39,1560,READ,138624,57
40,1160,READ,142272,57
41,760,READ,145920,57
42,360,READ,149568,57
43,1960,READ,153216,57
44,1560,READ,156864,57
45,1160,READ,160512,57
46,760,READ,164160,57
47,360,READ,167808,57
48,1960,READ,171456,57
49,1560,READ,175104,57
50,1160,READ,178752,57
51,760,READ,182400,57
52,360,READ,186048,57
53,1960,READ,189696,57
54,1560,READ,193344,57
55,1160,READ,196992,57
56,760,READ,200640,57
57,360,READ,204288,57
58,1960,READ,207936,57
59,1560,READ,211584,57
60,1160,READ,215232,57
61,760,READ,218880,57
62,360,READ,222528,57
63,1960,READ,226176,57
64,1560,READ,229824,57
65,1160,READ,233472,57
66,760,READ,237120,57
67,360,READ,240768,57
68,1960,READ,244416,57
69,1560,READ,248064,57
70,1160,READ,251712,57
71,760,READ,255360,57
72,360,READ,259008,57
73,1960,READ,262656,57
74,1560,READ,266304,57
75,1160,READ,269952,57
76,760,READ,273600,57
77,360,READ,277248,57
78,1960,READ,280896,57
79,1560,READ,284544,57
80,1160,READ,288192,57
81,760,READ,291840,57
82,360,READ,295488,57
83,1960,READ,299136,57
84,1560,READ,302784,57
85,1160,READ,306432,57
86,760,READ,310080,57
87,360,READ,313728,57
88,1960,READ,317376,57
89,1560,READ,321024,57
90,1160,READ,324672,57
91,760,READ,328320,57
92,360,READ,331968,57
93,1960,READ,335616,57
94,1560,READ,339264,57
95,1160,READ,342912,57
96,760,READ,346560,57
97,360,READ,350208,57
98,1960,READ,353856,57
99,1560,READ,357504,57
100,1160,READ,361152,57
101,760,READ,364800,57
102,360,READ,368448,57
103,1960,READ,372096,57
104,1560,READ,375744,57
105,1160,READ,379392,57
106,760,READ,383040,57
107,360,READ,386688,57
108,1960,READ,390336,57
109,1560,READ,393984,57
110,1160,READ,397632,57
111,760,READ,401280,57
112,360,READ,404928,57
113,1960,READ,408576,57
114,1560,READ,412224,57
115,1160,READ,415872,57
116,760,READ,419520,57
117,360,READ,423168,57
118,1960,READ,426816,57
119,1560,READ,430464,57
120,1160,READ,434112,57
121,760,READ,437760,57
122,360,READ,441408,57
123,1960,READ,445056,57
124,1560,READ,448704,57
125,1160,READ,452352,57
126,760,READ,456000,57
127,360,READ,459648,57
128,1960,READ,463296,57
129,1560,READ,466944,57
130,1160,READ,470592,57
131,760,READ,474240,57
132,360,READ,477888,57
133,1960,READ,481536,57
134,1560,READ,485184,57
135,1160,READ,488832,57
136,760,READ,492480,57
137,360,READ,496128,57
138,1960,READ,499776,57
139,1560,READ,503424,57
140,1160,READ,507072,57
141,760,READ,510720,57
142,360,READ,514368,57
143,1960,READ,518016,57
144,1560,READ,521664,57
145,1160,READ,525312,57
146,760,READ,528960,57
147,360,READ,532608,57
148,1960,READ,536256,57
149,1560,READ,539904,57
150,1160,READ,543552,57
151,760,READ,547200,57
152,360,READ,550848,57
153,1960,READ,554496,57
154,1560,READ,558144,57
155,1160,READ,561792,57
156,760,READ,565440,57
157,360,READ,569088,57
158,1960,READ,572736,57
159,1560,READ,576384,57
160,1160,READ,580032,57
161,760,READ,583680,57
162,360,READ,587328,57
163,1960,READ,590976,57
164,1560,READ,594624,57
165,1160,READ,598272,57
166,760,READ,601920,57
167,360,READ,605568,57
168,1960,READ,609216,57
169,1560,READ,612864,57
170,1160,READ,616512,57
171,760,READ,620160,57
172,360,READ,623808,57
173,1960,READ,627456,57
174,1560,READ,631104,57
175,1160,READ,634752,57
176,760,READ,638400,57
177,360,READ,642048,57
178,1960,READ,645696,57
179,1560,READ,649344,57
180,1160,READ,652992,57
181,760,READ,656640,57
182,360,READ,660288,57
183,1960,READ,663936,57
184,1560,READ,667584,57
